The Shawshank Redemption,Frank Darabont,1994,142,9.3
12 Angry Men,Sidney Lumet,1957,126,9.0
The Dark Knight,Christopher Nolan,2008,152,9.0
The Godfather,Francis Ford Coppola,1972,175,9.2
Schindler's List,Steven Spielberg,1993,195,9.0
